Altium Designer Pick and Place Locations
C:\Users\lafleur\Desktop\Altium Projects\HF-Simulator Rev-3d\Project Outputs for HF-Simulator Rev-1\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       13/03/26
Time:       08:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                    
R17        120                BottomLayer 6-0805               3200.000      3150.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R16        120                BottomLayer 6-0805               3000.000      3000.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R15        120                BottomLayer 6-0805               3000.000      3150.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R6         4.7k               BottomLayer 6-0805               4825.000      2562.598      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R5         4.7k               BottomLayer 6-0805               4825.000      2350.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R10        10k                BottomLayer 6-0805               1300.000      175.000       180      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R9         10k                BottomLayer 6-0805               650.000       175.000       0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R8         10k                BottomLayer 6-0805               2525.000      175.000       180      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R7         10k                BottomLayer 6-0805               1900.000      175.000       0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R4         1.2k               BottomLayer 6-0805               3400.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R3         1.2k               BottomLayer 6-0805               3250.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R2         1.2k               BottomLayer 6-0805               3100.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R1         1.2k               BottomLayer 6-0805               2950.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
Q1         IRLML6244TR        BottomLayer micro3               500.000       3050.000      180      "HEXFET N-Channel"                                                                                                             
P3         "LCD-Header 2.2in" TopLayer    HDR1X9               2750.000      2200.000      90       "Header, 9-Pin"                                                                                                                
P2         "LCD-Header 2.8in" TopLayer    HDR1X14              3440.000      2150.000      90       "Header, 14-Pin"                                                                                                               
P1         I2C-Test           TopLayer    HDR1X4               5000.000      2450.000      270      "Header, 4-Pin"                                                                                                                
L1         FB                 BottomLayer 6-0805               2300.000      3150.000      180      ""                                                                                                                             
J3         SJ1-3533N          TopLayer    CUI_SJ1-3533NG       3286.220      3894.488      270      "3.5 mm phone jack"                                                                                                            
J2         SJ1-3533N          TopLayer    CUI_SJ1-3533NG       1389.370      3891.338      270      "3.5 mm phone jack"                                                                                                            
J1         TS2A               TopLayer    TS3.81X2             535.000       4100.000      90       "Screw Terminal, 3.81mm (.15in) 2X"                                                                                            
D2         LED-3              TopLayer    LED_0805             3250.000      500.000       90       ""                                                                                                                             
D4         LED-2              TopLayer    LED_0805             3100.000      500.000       90       ""                                                                                                                             
D3         "PWR 3.3V"         TopLayer    LED_0805             3400.000      500.000       90       ""                                                                                                                             
D1         LED-1              TopLayer    LED_0805             2950.000      500.000       90       ""                                                                                                                             
C24        10uf               BottomLayer 6-0805               2800.000      3800.000      90       Capacitor                                                                                                                      
C23        10uf               BottomLayer 6-0805               1850.000      4000.000      270      Capacitor                                                                                                                      
C22        10uf               BottomLayer 6-0805               2650.000      3650.000      270      Capacitor                                                                                                                      
C21        10uf               BottomLayer 6-0805               3300.000      3362.598      270      Capacitor                                                                                                                      
C20        10uf               BottomLayer 6-0805               3100.000      3362.598      270      Capacitor                                                                                                                      
C19        10uf               BottomLayer 6-0805               2000.000      3800.000      90       Capacitor                                                                                                                      
C18        .1uf               BottomLayer 6-0805               2400.000      3800.000      180      Capacitor                                                                                                                      
C17        10uf               BottomLayer 6-0805               2400.000      3700.000      180      Capacitor                                                                                                                      
C16        10uf               BottomLayer 6-0805               850.000       4000.000      270      Capacitor                                                                                                                      
C15        10uf               BottomLayer 6-0805               2150.000      3650.000      270      Capacitor                                                                                                                      
C14        .15uf              BottomLayer 6-0805               2650.000      3400.000      0        Capacitor                                                                                                                      
C13        .1uf               BottomLayer 6-0805               2300.000      3250.000      180      Capacitor                                                                                                                      
C11        10uf               BottomLayer 0805                 2550.000      2800.000      270      Capacitor                                                                                                                      
C10        .1uf               BottomLayer 6-0805               2650.000      2800.000      270      Capacitor                                                                                                                      
C9         .1uf               BottomLayer 6-0805               2300.000      3050.000      0        Capacitor                                                                                                                      
C7         .01uf              BottomLayer 6-0805               650.000       1125.000      90       Capacitor                                                                                                                      
C6         .01uf              BottomLayer 6-0805               1125.000      175.000       180      Capacitor                                                                                                                      
C5         .01uf              BottomLayer 6-0805               837.402       175.000       0        Capacitor                                                                                                                      
C2         22uf               BottomLayer 0805                 4172.402      3940.000      180      Capacitor                                                                                                                      
C1         .1uf               BottomLayer 6-0805               4170.000      3840.000      180      Capacitor                                                                                                                      
C8         .01uf              BottomLayer 6-0805               1875.000      1125.000      90       Capacitor                                                                                                                      
C4         .01uf              BottomLayer 6-0805               2350.000      175.000       180      Capacitor                                                                                                                      
C3         .01uf              BottomLayer 6-0805               2100.000      175.000       0        Capacitor                                                                                                                      
